CustomerID,datetime,AggrDmnd,DailyAverage,Demand,AvgDemand
group,2017-01-01 00:00,91.44000,200.82519,91.44000,91.44000
group,2017-01-01 00:15,95.24000,200.82519,95.24000,95.24000
group,2017-01-01 00:30,93.12000,200.82519,93.12000,93.12000
group,2017-01-01 00:45,90.64000,200.82519,90.64000,90.64000
group,2017-01-01 01:00,91.96000,200.82519,91.96000,91.96000
group,2017-01-01 01:15,93.44000,200.82519,93.44000,93.44000
group,2017-01-01 01:30,89.48000,200.82519,89.48000,89.48000
group,2017-01-01 01:45,93.84000,200.82519,93.84000,93.84000
group,2017-01-01 02:00,91.40000,200.82519,91.40000,91.40000
group,2017-01-01 02:15,94.00000,200.82519,94.00000,94.00000
group,2017-01-01 02:30,88.04000,200.82519,88.04000,88.04000
group,2017-01-01 02:45,91.12000,200.82519,91.12000,91.12000
group,2017-01-01 03:00,95.84000,200.82519,95.84000,95.84000
group,2017-01-01 03:15,94.08000,200.82519,94.08000,94.08000
group,2017-01-01 03:30,89.40000,200.82519,89.40000,89.40000
group,2017-01-01 03:45,94.84000,200.82519,94.84000,94.84000
group,2017-01-01 04:00,97.44000,200.82519,97.44000,97.44000
group,2017-01-01 04:15,91.92000,200.82519,91.92000,91.92000
group,2017-01-01 04:30,99.12000,200.82519,99.12000,99.12000
group,2017-01-01 04:45,95.64000,200.82519,95.64000,95.64000
group,2017-01-01 05:00,93.60000,200.82519,93.60000,93.60000
group,2017-01-01 05:15,95.16000,200.82519,95.16000,95.16000
group,2017-01-01 05:30,100.16000,200.82519,100.16000,100.16000
group,2017-01-01 05:45,99.40000,200.82519,99.40000,99.40000
group,2017-01-01 06:00,101.64000,200.82519,101.64000,101.64000
group,2017-01-01 06:15,98.64000,200.82519,98.64000,98.64000
group,2017-01-01 06:30,99.72000,200.82519,99.72000,99.72000
group,2017-01-01 06:45,97.88000,200.82519,97.88000,97.88000
group,2017-01-01 07:00,95.92000,200.82519,95.92000,95.92000
group,2017-01-01 07:15,94.00000,200.82519,94.00000,94.00000
group,2017-01-01 07:30,97.40000,200.82519,97.40000,97.40000
group,2017-01-01 07:45,94.56000,200.82519,94.56000,94.56000
group,2017-01-01 08:00,87.28000,200.82519,87.28000,87.28000
group,2017-01-01 08:15,102.32000,200.82519,102.32000,102.32000
group,2017-01-01 08:30,94.44000,200.82519,94.44000,94.44000
group,2017-01-01 08:45,93.80000,200.82519,93.80000,93.80000
group,2017-01-01 09:00,100.24000,200.82519,100.24000,100.24000
group,2017-01-01 09:15,98.92000,200.82519,98.92000,98.92000
group,2017-01-01 09:30,105.56000,200.82519,105.56000,105.56000
group,2017-01-01 09:45,98.96000,200.82519,98.96000,98.96000
group,2017-01-01 10:00,101.36000,200.82519,101.36000,101.36000
group,2017-01-01 10:15,104.00000,200.82519,104.00000,104.00000
group,2017-01-01 10:30,106.36000,200.82519,106.36000,106.36000
group,2017-01-01 10:45,101.88000,200.82519,101.88000,101.88000
group,2017-01-01 11:00,107.32000,200.82519,107.32000,107.32000
group,2017-01-01 11:15,108.16000,200.82519,108.16000,108.16000
group,2017-01-01 11:30,106.36000,200.82519,106.36000,106.36000
group,2017-01-01 11:45,106.28000,200.82519,106.28000,106.28000
group,2017-01-01 12:00,105.72000,200.82519,105.72000,105.72000
group,2017-01-01 12:15,101.76000,200.82519,101.76000,101.76000
group,2017-01-01 12:30,110.36000,200.82519,110.36000,110.36000
group,2017-01-01 12:45,103.20000,200.82519,103.20000,103.20000
group,2017-01-01 13:00,104.40000,200.82519,104.40000,104.40000
group,2017-01-01 13:15,112.00000,200.82519,112.00000,112.00000
group,2017-01-01 13:30,107.32000,200.82519,107.32000,107.32000
group,2017-01-01 13:45,103.92000,200.82519,103.92000,103.92000
group,2017-01-01 14:00,108.28000,200.82519,108.28000,108.28000
group,2017-01-01 14:15,113.96000,200.82519,113.96000,113.96000
group,2017-01-01 14:30,111.32000,200.82519,111.32000,111.32000
group,2017-01-01 14:45,109.00000,200.82519,109.00000,109.00000
group,2017-01-01 15:00,114.36000,200.82519,114.36000,114.36000
group,2017-01-01 15:15,108.64000,200.82519,108.64000,108.64000
group,2017-01-01 15:30,107.32000,200.82519,107.32000,107.32000
group,2017-01-01 15:45,113.16000,200.82519,113.16000,113.16000
group,2017-01-01 16:00,112.32000,200.82519,112.32000,112.32000
group,2017-01-01 16:15,113.72000,200.82519,113.72000,113.72000
group,2017-01-01 16:30,115.72000,200.82519,115.72000,115.72000
group,2017-01-01 16:45,110.52000,200.82519,110.52000,110.52000
group,2017-01-01 17:00,114.76000,200.82519,114.76000,114.76000
group,2017-01-01 17:15,120.28000,200.82519,120.28000,120.28000
group,2017-01-01 17:30,116.68000,200.82519,116.68000,116.68000
group,2017-01-01 17:45,116.28000,200.82519,116.28000,116.28000
group,2017-01-01 18:00,112.20000,200.82519,112.20000,112.20000
group,2017-01-01 18:15,115.84000,200.82519,115.84000,115.84000
group,2017-01-01 18:30,107.92000,200.82519,107.92000,107.92000
group,2017-01-01 18:45,112.80000,200.82519,112.80000,112.80000
group,2017-01-01 19:00,112.52000,200.82519,112.52000,112.52000
group,2017-01-01 19:15,113.84000,200.82519,113.84000,113.84000
group,2017-01-01 19:30,108.60000,200.82519,108.60000,108.60000
group,2017-01-01 19:45,107.44000,200.82519,107.44000,107.44000
group,2017-01-01 20:00,104.92000,200.82519,104.92000,104.92000
group,2017-01-01 20:15,111.96000,200.82519,111.96000,111.96000
group,2017-01-01 20:30,108.60000,200.82519,108.60000,108.60000
group,2017-01-01 20:45,107.16000,200.82519,107.16000,107.16000
group,2017-01-01 21:00,102.92000,200.82519,102.92000,102.92000
group,2017-01-01 21:15,105.36000,200.82519,105.36000,105.36000
group,2017-01-01 21:30,99.00000,200.82519,99.00000,99.00000
group,2017-01-01 21:45,95.72000,200.82519,95.72000,95.72000
group,2017-01-01 22:00,96.04000,200.82519,96.04000,96.04000
group,2017-01-01 22:15,94.60000,200.82519,94.60000,94.60000
group,2017-01-01 22:30,97.68000,200.82519,97.68000,97.68000
group,2017-01-01 22:45,93.76000,200.82519,93.76000,93.76000
group,2017-01-01 23:00,95.00000,200.82519,95.00000,95.00000
group,2017-01-01 23:15,93.92000,200.82519,93.92000,93.92000
group,2017-01-01 23:30,94.20000,200.82519,94.20000,94.20000
group,2017-01-01 23:45,90.36000,200.82519,90.36000,90.36000
group,2017-01-02 00:00,93.40000,200.82519,93.40000,93.40000
group,2017-01-02 00:15,90.76000,200.82519,90.76000,90.76000
group,2017-01-02 00:30,91.56000,200.82519,91.56000,91.56000
group,2017-01-02 00:45,86.72000,200.82519,86.72000,86.72000
group,2017-01-02 01:00,83.40000,200.82519,83.40000,83.40000
group,2017-01-02 01:15,93.96000,200.82519,93.96000,93.96000
group,2017-01-02 01:30,83.84000,200.82519,83.84000,83.84000
group,2017-01-02 01:45,92.48000,200.82519,92.48000,92.48000
group,2017-01-02 02:00,82.32000,200.82519,82.32000,82.32000
group,2017-01-02 02:15,91.56000,200.82519,91.56000,91.56000
group,2017-01-02 02:30,101.52000,200.82519,101.52000,101.52000
group,2017-01-02 02:45,91.96000,200.82519,91.96000,91.96000
