CustomerID,datetime,NormDelta,AbsDelta,Leaders,Others,NormLeaders,NormOthers,DailyAvgLeaders,DailyAvgOthers
delta,2017-01-01 00:00,0.03879,0.00249,0.00614,0.06170,0.99913,0.96034,0.00614,0.06425
delta,2017-01-01 00:15,0.05747,0.00369,0.00613,0.06037,0.99702,0.93955,0.00614,0.06425
delta,2017-01-01 00:30,0.07591,0.00488,0.00611,0.05905,0.99494,0.91903,0.00614,0.06425
delta,2017-01-01 00:45,0.09403,0.00604,0.00610,0.05775,0.99290,0.89887,0.00614,0.06425
delta,2017-01-01 01:00,0.11174,0.00718,0.00609,0.05649,0.99089,0.87915,0.00614,0.06425
delta,2017-01-01 01:15,0.12899,0.00829,0.00608,0.05525,0.98894,0.85995,0.00614,0.06425
delta,2017-01-01 01:30,0.14568,0.00936,0.00606,0.05406,0.98705,0.84137,0.00614,0.06425
delta,2017-01-01 01:45,0.16175,0.01039,0.00605,0.05291,0.98522,0.82347,0.00614,0.06425
delta,2017-01-01 02:00,0.17714,0.01138,0.00604,0.05181,0.98348,0.80634,0.00614,0.06425
delta,2017-01-01 02:15,0.19177,0.01232,0.00603,0.05076,0.98181,0.79004,0.00614,0.06425
delta,2017-01-01 02:30,0.20558,0.01321,0.00602,0.04977,0.98023,0.77465,0.00614,0.06425
delta,2017-01-01 02:45,0.21851,0.01404,0.00601,0.04885,0.97875,0.76024,0.00614,0.06425
delta,2017-01-01 03:00,0.23052,0.01481,0.00601,0.04799,0.97737,0.74685,0.00614,0.06425
delta,2017-01-01 03:15,0.24154,0.01552,0.00600,0.04720,0.97610,0.73456,0.00614,0.06425
delta,2017-01-01 03:30,0.25153,0.01616,0.00599,0.04648,0.97494,0.72341,0.00614,0.06425
delta,2017-01-01 03:45,0.26043,0.01673,0.00598,0.04584,0.97389,0.71346,0.00614,0.06425
delta,2017-01-01 04:00,0.26824,0.01723,0.00598,0.04528,0.97297,0.70473,0.00614,0.06425
delta,2017-01-01 04:15,0.27490,0.01766,0.00597,0.04480,0.97218,0.69728,0.00614,0.06425
