CustomerID,datetime,NormDmnd,DailyAverage,Demand,AvgDemand
g1o,2017-01-01 00:00,0.96034,0.06425,0.06170,0.00229
g1o,2017-01-01 00:15,0.93955,0.06425,0.06037,0.00224
g1o,2017-01-01 00:30,0.91903,0.06425,0.05905,0.00219
g1o,2017-01-01 00:45,0.89887,0.06425,0.05775,0.00214
g1o,2017-01-01 01:00,0.87915,0.06425,0.05649,0.00209
g1o,2017-01-01 01:15,0.85995,0.06425,0.05525,0.00205
g1o,2017-01-01 01:30,0.84137,0.06425,0.05406,0.00200
g1o,2017-01-01 01:45,0.82347,0.06425,0.05291,0.00196
g1o,2017-01-01 02:00,0.80634,0.06425,0.05181,0.00192
g1o,2017-01-01 02:15,0.79004,0.06425,0.05076,0.00188
g1o,2017-01-01 02:30,0.77465,0.06425,0.04977,0.00184
g1o,2017-01-01 02:45,0.76024,0.06425,0.04885,0.00181
g1o,2017-01-01 03:00,0.74685,0.06425,0.04799,0.00178
g1o,2017-01-01 03:15,0.73456,0.06425,0.04720,0.00175
g1o,2017-01-01 03:30,0.72341,0.06425,0.04648,0.00172
g1o,2017-01-01 03:45,0.71346,0.06425,0.04584,0.00170
g1o,2017-01-01 04:00,0.70473,0.06425,0.04528,0.00168
g1o,2017-01-01 04:15,0.69728,0.06425,0.04480,0.00166
g1o,2017-01-01 04:30,0.69113,0.06425,0.04441,0.00164
g1o,2017-01-01 04:45,0.68631,0.06425,0.04410,0.00163
g1o,2017-01-01 05:00,0.68284,0.06425,0.04387,0.00162
g1o,2017-01-01 05:15,0.68073,0.06425,0.04374,0.00162
g1o,2017-01-01 05:30,0.67999,0.06425,0.04369,0.00162
g1o,2017-01-01 05:45,0.68063,0.06425,0.04373,0.00162
g1o,2017-01-01 06:00,0.68264,0.06425,0.04386,0.00162
g1o,2017-01-01 06:15,0.68602,0.06425,0.04408,0.00163
g1o,2017-01-01 06:30,0.69074,0.06425,0.04438,0.00164
g1o,2017-01-01 06:45,0.69679,0.06425,0.04477,0.00166
g1o,2017-01-01 07:00,0.70415,0.06425,0.04524,0.00168
g1o,2017-01-01 07:15,0.71277,0.06425,0.04580,0.00170
g1o,2017-01-01 07:30,0.72263,0.06425,0.04643,0.00172
g1o,2017-01-01 07:45,0.73368,0.06425,0.04714,0.00175
g1o,2017-01-01 08:00,0.74588,0.06425,0.04792,0.00177
g1o,2017-01-01 08:15,0.75916,0.06425,0.04878,0.00181
g1o,2017-01-01 08:30,0.77348,0.06425,0.04970,0.00184
g1o,2017-01-01 08:45,0.78878,0.06425,0.05068,0.00188
g1o,2017-01-01 09:00,0.80498,0.06425,0.05172,0.00192
g1o,2017-01-01 09:15,0.82201,0.06425,0.05281,0.00196
g1o,2017-01-01 09:30,0.83981,0.06425,0.05396,0.00200
g1o,2017-01-01 09:45,0.85830,0.06425,0.05515,0.00204
g1o,2017-01-01 10:00,0.87740,0.06425,0.05637,0.00209
g1o,2017-01-01 10:15,0.89702,0.06425,0.05763,0.00213
g1o,2017-01-01 10:30,0.91709,0.06425,0.05892,0.00218
g1o,2017-01-01 10:45,0.93751,0.06425,0.06023,0.00223
g1o,2017-01-01 11:00,0.95820,0.06425,0.06156,0.00228
g1o,2017-01-01 11:15,0.97907,0.06425,0.06291,0.00233
g1o,2017-01-01 11:30,1.00003,0.06425,0.06425,0.00238
g1o,2017-01-01 11:45,1.02099,0.06425,0.06560,0.00243
g1o,2017-01-01 12:00,1.04186,0.06425,0.06694,0.00248
g1o,2017-01-01 12:15,1.06255,0.06425,0.06827,0.00253
g1o,2017-01-01 12:30,1.08298,0.06425,0.06958,0.00258
g1o,2017-01-01 12:45,1.10304,0.06425,0.07087,0.00262
g1o,2017-01-01 13:00,1.12267,0.06425,0.07213,0.00267
g1o,2017-01-01 13:15,1.14177,0.06425,0.07336,0.00272
g1o,2017-01-01 13:30,1.16026,0.06425,0.07455,0.00276
g1o,2017-01-01 13:45,1.17806,0.06425,0.07569,0.00280
g1o,2017-01-01 14:00,1.19510,0.06425,0.07679,0.00284
g1o,2017-01-01 14:15,1.21130,0.06425,0.07783,0.00288
g1o,2017-01-01 14:30,1.22660,0.06425,0.07881,0.00292
g1o,2017-01-01 14:45,1.24092,0.06425,0.07973,0.00295
g1o,2017-01-01 15:00,1.25421,0.06425,0.08058,0.00298
g1o,2017-01-01 15:15,1.26641,0.06425,0.08137,0.00301
g1o,2017-01-01 15:30,1.27746,0.06425,0.08208,0.00304
g1o,2017-01-01 15:45,1.28733,0.06425,0.08271,0.00306
g1o,2017-01-01 16:00,1.29596,0.06425,0.08327,0.00308
g1o,2017-01-01 16:15,1.30332,0.06425,0.08374,0.00310
g1o,2017-01-01 16:30,1.30937,0.06425,0.08413,0.00312
