CustomerID,datetime,Demand
g2L-g2o,2017-01-01 00:00,0.02062
g2L-g2o,2017-01-01 00:15,0.03184
g2L-g2o,2017-01-01 00:30,0.04291
g2L-g2o,2017-01-01 00:45,0.05380
g2L-g2o,2017-01-01 01:00,0.06444
g2L-g2o,2017-01-01 01:15,0.07480
g2L-g2o,2017-01-01 01:30,0.08483
g2L-g2o,2017-01-01 01:45,0.09450
g2L-g2o,2017-01-01 02:00,0.10375
g2L-g2o,2017-01-01 02:15,0.11255
g2L-g2o,2017-01-01 02:30,0.12086
g2L-g2o,2017-01-01 02:45,0.12864
g2L-g2o,2017-01-01 03:00,0.13587
g2L-g2o,2017-01-01 03:15,0.14251
g2L-g2o,2017-01-01 03:30,0.14854
g2L-g2o,2017-01-01 03:45,0.15392
g2L-g2o,2017-01-01 04:00,0.15863
g2L-g2o,2017-01-01 04:15,0.16267
g2L-g2o,2017-01-01 04:30,0.16600
g2L-g2o,2017-01-01 04:45,0.16862
g2L-g2o,2017-01-01 05:00,0.17050
g2L-g2o,2017-01-01 05:15,0.17165
g2L-g2o,2017-01-01 05:30,0.17206
g2L-g2o,2017-01-01 05:45,0.17174
g2L-g2o,2017-01-01 06:00,0.17067
g2L-g2o,2017-01-01 06:15,0.16887
g2L-g2o,2017-01-01 06:30,0.16634
g2L-g2o,2017-01-01 06:45,0.16309
g2L-g2o,2017-01-01 07:00,0.15914
g2L-g2o,2017-01-01 07:15,0.15451
g2L-g2o,2017-01-01 07:30,0.14921
g2L-g2o,2017-01-01 07:45,0.14327
g2L-g2o,2017-01-01 08:00,0.13672
g2L-g2o,2017-01-01 08:15,0.12957
g2L-g2o,2017-01-01 08:30,0.12187
g2L-g2o,2017-01-01 08:45,0.11364
g2L-g2o,2017-01-01 09:00,0.10493
g2L-g2o,2017-01-01 09:15,0.09577
g2L-g2o,2017-01-01 09:30,0.08619
g2L-g2o,2017-01-01 09:45,0.07624
g2L-g2o,2017-01-01 10:00,0.06596
g2L-g2o,2017-01-01 10:15,0.05540
g2L-g2o,2017-01-01 10:30,0.04460
g2L-g2o,2017-01-01 10:45,0.03361
g2L-g2o,2017-01-01 11:00,0.02248
g2L-g2o,2017-01-01 11:15,0.01124
g2L-g2o,2017-01-01 11:30,-0.00003
g2L-g2o,2017-01-01 11:45,-0.01132
g2L-g2o,2017-01-01 12:00,-0.02255
g2L-g2o,2017-01-01 12:15,-0.03369
g2L-g2o,2017-01-01 12:30,-0.04468
g2L-g2o,2017-01-01 12:45,-0.05547
g2L-g2o,2017-01-01 13:00,-0.06604
g2L-g2o,2017-01-01 13:15,-0.07632
g2L-g2o,2017-01-01 13:30,-0.08626
g2L-g2o,2017-01-01 13:45,-0.09584
g2L-g2o,2017-01-01 14:00,-0.10501
g2L-g2o,2017-01-01 14:15,-0.11373
g2L-g2o,2017-01-01 14:30,-0.12196
g2L-g2o,2017-01-01 14:45,-0.12966
g2L-g2o,2017-01-01 15:00,-0.13680
g2L-g2o,2017-01-01 15:15,-0.14336
g2L-g2o,2017-01-01 15:30,-0.14930
g2L-g2o,2017-01-01 15:45,-0.15461
g2L-g2o,2017-01-01 16:00,-0.15924
g2L-g2o,2017-01-01 16:15,-0.16320
g2L-g2o,2017-01-01 16:30,-0.16644
g2L-g2o,2017-01-01 16:45,-0.16898
g2L-g2o,2017-01-01 17:00,-0.17078
g2L-g2o,2017-01-01 17:15,-0.17185
g2L-g2o,2017-01-01 17:30,-0.17218
g2L-g2o,2017-01-01 17:45,-0.17178
g2L-g2o,2017-01-01 18:00,-0.17062
g2L-g2o,2017-01-01 18:15,-0.16874
g2L-g2o,2017-01-01 18:30,-0.16613
g2L-g2o,2017-01-01 18:45,-0.16280
g2L-g2o,2017-01-01 19:00,-0.15877
g2L-g2o,2017-01-01 19:15,-0.15406
g2L-g2o,2017-01-01 19:30,-0.14868
g2L-g2o,2017-01-01 19:45,-0.14265
g2L-g2o,2017-01-01 20:00,-0.13602
g2L-g2o,2017-01-01 20:15,-0.12879
g2L-g2o,2017-01-01 20:30,-0.12102
g2L-g2o,2017-01-01 20:45,-0.11271
g2L-g2o,2017-01-01 21:00,-0.10391
g2L-g2o,2017-01-01 21:15,-0.09466
g2L-g2o,2017-01-01 21:30,-0.08501
g2L-g2o,2017-01-01 21:45,-0.07497
g2L-g2o,2017-01-01 22:00,-0.06462
g2L-g2o,2017-01-01 22:15,-0.05398
g2L-g2o,2017-01-01 22:30,-0.04310
g2L-g2o,2017-01-01 22:45,-0.03203
g2L-g2o,2017-01-01 23:00,-0.02081
g2L-g2o,2017-01-01 23:15,-0.00949
g2L-g2o,2017-01-01 23:30,0.00186
g2L-g2o,2017-01-01 23:45,0.01323
g2L-g2o,2017-01-02 00:00,0.02088
g2L-g2o,2017-01-02 00:15,0.03218
g2L-g2o,2017-01-02 00:30,0.04335
g2L-g2o,2017-01-02 00:45,0.05431
g2L-g2o,2017-01-02 01:00,0.06505
g2L-g2o,2017-01-02 01:15,0.07549
g2L-g2o,2017-01-02 01:30,0.08560
g2L-g2o,2017-01-02 01:45,0.09534
g2L-g2o,2017-01-02 02:00,0.10466
g2L-g2o,2017-01-02 02:15,0.11353
g2L-g2o,2017-01-02 02:30,0.12190
g2L-g2o,2017-01-02 02:45,0.12976
g2L-g2o,2017-01-02 03:00,0.13705
g2L-g2o,2017-01-02 03:15,0.14373
g2L-g2o,2017-01-02 03:30,0.14981
g2L-g2o,2017-01-02 03:45,0.15523
g2L-g2o,2017-01-02 04:00,0.15999
g2L-g2o,2017-01-02 04:15,0.16406
g2L-g2o,2017-01-02 04:30,0.16741
g2L-g2o,2017-01-02 04:45,0.17005
g2L-g2o,2017-01-02 05:00,0.17194
g2L-g2o,2017-01-02 05:15,0.17311
g2L-g2o,2017-01-02 05:30,0.17353
g2L-g2o,2017-01-02 05:45,0.17320
g2L-g2o,2017-01-02 06:00,0.17212
g2L-g2o,2017-01-02 06:15,0.17030
g2L-g2o,2017-01-02 06:30,0.16775
g2L-g2o,2017-01-02 06:45,0.16447
g2L-g2o,2017-01-02 07:00,0.16049
g2L-g2o,2017-01-02 07:15,0.15583
g2L-g2o,2017-01-02 07:30,0.15048
g2L-g2o,2017-01-02 07:45,0.14449
g2L-g2o,2017-01-02 08:00,0.13789
g2L-g2o,2017-01-02 08:15,0.13068
g2L-g2o,2017-01-02 08:30,0.12292
g2L-g2o,2017-01-02 08:45,0.11462
g2L-g2o,2017-01-02 09:00,0.10584
g2L-g2o,2017-01-02 09:15,0.09660
g2L-g2o,2017-01-02 09:30,0.08694
g2L-g2o,2017-01-02 09:45,0.07691
g2L-g2o,2017-01-02 10:00,0.06655
g2L-g2o,2017-01-02 10:15,0.05590
g2L-g2o,2017-01-02 10:30,0.04500
g2L-g2o,2017-01-02 10:45,0.03393
g2L-g2o,2017-01-02 11:00,0.02270
g2L-g2o,2017-01-02 11:15,0.01138
g2L-g2o,2017-01-02 11:30,0.00000
g2L-g2o,2017-01-02 11:45,-0.01137
g2L-g2o,2017-01-02 12:00,-0.02270
g2L-g2o,2017-01-02 12:15,-0.03393
g2L-g2o,2017-01-02 12:30,-0.04502
g2L-g2o,2017-01-02 12:45,-0.05590
g2L-g2o,2017-01-02 13:00,-0.06656
g2L-g2o,2017-01-02 13:15,-0.07692
g2L-g2o,2017-01-02 13:30,-0.08695
g2L-g2o,2017-01-02 13:45,-0.09662
g2L-g2o,2017-01-02 14:00,-0.10586
g2L-g2o,2017-01-02 14:15,-0.11465
g2L-g2o,2017-01-02 14:30,-0.12295
g2L-g2o,2017-01-02 14:45,-0.13072
g2L-g2o,2017-01-02 15:00,-0.13793
g2L-g2o,2017-01-02 15:15,-0.14454
g2L-g2o,2017-01-02 15:30,-0.15054
g2L-g2o,2017-01-02 15:45,-0.15589
g2L-g2o,2017-01-02 16:00,-0.16056
g2L-g2o,2017-01-02 16:15,-0.16455
g2L-g2o,2017-01-02 16:30,-0.16784
g2L-g2o,2017-01-02 16:45,-0.17039
g2L-g2o,2017-01-02 17:00,-0.17221
g2L-g2o,2017-01-02 17:15,-0.17329
g2L-g2o,2017-01-02 17:30,-0.17364
g2L-g2o,2017-01-02 17:45,-0.17323
g2L-g2o,2017-01-02 18:00,-0.17207
g2L-g2o,2017-01-02 18:15,-0.17018
g2L-g2o,2017-01-02 18:30,-0.16755
g2L-g2o,2017-01-02 18:45,-0.16420
g2L-g2o,2017-01-02 19:00,-0.16015
g2L-g2o,2017-01-02 19:15,-0.15540
g2L-g2o,2017-01-02 19:30,-0.14998
g2L-g2o,2017-01-02 19:45,-0.14391
g2L-g2o,2017-01-02 20:00,-0.13722
g2L-g2o,2017-01-02 20:15,-0.12994
g2L-g2o,2017-01-02 20:30,-0.12210
g2L-g2o,2017-01-02 20:45,-0.11373
g2L-g2o,2017-01-02 21:00,-0.10487
g2L-g2o,2017-01-02 21:15,-0.09555
g2L-g2o,2017-01-02 21:30,-0.08581
g2L-g2o,2017-01-02 21:45,-0.07571
g2L-g2o,2017-01-02 22:00,-0.06527
g2L-g2o,2017-01-02 22:15,-0.05455
g2L-g2o,2017-01-02 22:30,-0.04358
g2L-g2o,2017-01-02 22:45,-0.03242
g2L-g2o,2017-01-02 23:00,-0.02112
g2L-g2o,2017-01-02 23:15,-0.00972
