CustomerID,datetime,NormDmnd,DailyAverage,Demand,AvgDemand
g1L,2017-01-01 00:00,0.99913,0.00614,0.00614,0.00205
g1L,2017-01-01 00:15,0.99702,0.00614,0.00613,0.00204
g1L,2017-01-01 00:30,0.99494,0.00614,0.00611,0.00204
g1L,2017-01-01 00:45,0.99290,0.00614,0.00610,0.00203
g1L,2017-01-01 01:00,0.99089,0.00614,0.00609,0.00203
g1L,2017-01-01 01:15,0.98894,0.00614,0.00608,0.00203
g1L,2017-01-01 01:30,0.98705,0.00614,0.00606,0.00202
g1L,2017-01-01 01:45,0.98522,0.00614,0.00605,0.00202
g1L,2017-01-01 02:00,0.98348,0.00614,0.00604,0.00201
g1L,2017-01-01 02:15,0.98181,0.00614,0.00603,0.00201
g1L,2017-01-01 02:30,0.98023,0.00614,0.00602,0.00201
g1L,2017-01-01 02:45,0.97875,0.00614,0.00601,0.00200
g1L,2017-01-01 03:00,0.97737,0.00614,0.00601,0.00200
g1L,2017-01-01 03:15,0.97610,0.00614,0.00600,0.00200
g1L,2017-01-01 03:30,0.97494,0.00614,0.00599,0.00200
g1L,2017-01-01 03:45,0.97389,0.00614,0.00598,0.00199
g1L,2017-01-01 04:00,0.97297,0.00614,0.00598,0.00199
g1L,2017-01-01 04:15,0.97218,0.00614,0.00597,0.00199
g1L,2017-01-01 04:30,0.97151,0.00614,0.00597,0.00199
g1L,2017-01-01 04:45,0.97097,0.00614,0.00597,0.00199
g1L,2017-01-01 05:00,0.97056,0.00614,0.00596,0.00199
g1L,2017-01-01 05:15,0.97029,0.00614,0.00596,0.00199
g1L,2017-01-01 05:30,0.97015,0.00614,0.00596,0.00199
g1L,2017-01-01 05:45,0.97015,0.00614,0.00596,0.00199
g1L,2017-01-01 06:00,0.97029,0.00614,0.00596,0.00199
g1L,2017-01-01 06:15,0.97055,0.00614,0.00596,0.00199
g1L,2017-01-01 06:30,0.97096,0.00614,0.00597,0.00199
g1L,2017-01-01 06:45,0.97149,0.00614,0.00597,0.00199
g1L,2017-01-01 07:00,0.97215,0.00614,0.00597,0.00199
g1L,2017-01-01 07:15,0.97293,0.00614,0.00598,0.00199
g1L,2017-01-01 07:30,0.97383,0.00614,0.00598,0.00199
g1L,2017-01-01 07:45,0.97486,0.00614,0.00599,0.00200
g1L,2017-01-01 08:00,0.97599,0.00614,0.00600,0.00200
g1L,2017-01-01 08:15,0.97723,0.00614,0.00600,0.00200
g1L,2017-01-01 08:30,0.97858,0.00614,0.00601,0.00200
